task_id,tier,orchestration_mode,stage_passed,returncode,duration_seconds,candidate_count,passed_count,failed_count,top_candidate_id,top_score,orchestration_runs,orchestration_failed,metrics_path,scores_path,orchestration_metrics_path
C0_ENGINE_INTERFACE,smoke,audit,False,0,0.72,6,0,6,,,6,0,reports/comparisons/C0_ENGINE_INTERFACE/metrics.json,reports/comparisons/C0_ENGINE_INTERFACE/scores.json,reports/orchestration/C0_ENGINE_INTERFACE/metrics.json
C1_BOARD_FEN_MOVE,smoke,audit,False,0,0.703,6,0,6,,,6,0,reports/comparisons/C1_BOARD_FEN_MOVE/metrics.json,reports/comparisons/C1_BOARD_FEN_MOVE/scores.json,reports/orchestration/C1_BOARD_FEN_MOVE/metrics.json
C2_LEGAL_MOVE_GENERATION,smoke,audit,False,0,0.697,6,0,6,,,6,0,reports/comparisons/C2_LEGAL_MOVE_GENERATION/metrics.json,reports/comparisons/C2_LEGAL_MOVE_GENERATION/scores.json,reports/orchestration/C2_LEGAL_MOVE_GENERATION/metrics.json
C3_STATIC_EVALUATION,smoke,audit,False,0,0.733,6,0,6,,,6,0,reports/comparisons/C3_STATIC_EVALUATION/metrics.json,reports/comparisons/C3_STATIC_EVALUATION/scores.json,reports/orchestration/C3_STATIC_EVALUATION/metrics.json
C4_ALPHA_BETA_SEARCH,smoke,audit,False,0,0.691,4,0,4,,,4,0,reports/comparisons/C4_ALPHA_BETA_SEARCH/metrics.json,reports/comparisons/C4_ALPHA_BETA_SEARCH/scores.json,reports/orchestration/C4_ALPHA_BETA_SEARCH/metrics.json
C5_TACTICAL_HARDENING,smoke,audit,False,0,0.685,4,0,4,,,4,0,reports/comparisons/C5_TACTICAL_HARDENING/metrics.json,reports/comparisons/C5_TACTICAL_HARDENING/scores.json,reports/orchestration/C5_TACTICAL_HARDENING/metrics.json
C6_TIME_TT_ITERATIVE,smoke,audit,False,0,0.697,4,0,4,,,4,0,reports/comparisons/C6_TIME_TT_ITERATIVE/metrics.json,reports/comparisons/C6_TIME_TT_ITERATIVE/scores.json,reports/orchestration/C6_TIME_TT_ITERATIVE/metrics.json
C7_UCI_COMPATIBILITY,smoke,audit,False,0,0.689,4,0,4,,,4,0,reports/comparisons/C7_UCI_COMPATIBILITY/metrics.json,reports/comparisons/C7_UCI_COMPATIBILITY/scores.json,reports/orchestration/C7_UCI_COMPATIBILITY/metrics.json
C8_ELO_SLIDER,smoke,audit,False,0,0.68,4,0,4,,,4,0,reports/comparisons/C8_ELO_SLIDER/metrics.json,reports/comparisons/C8_ELO_SLIDER/scores.json,reports/orchestration/C8_ELO_SLIDER/metrics.json
