task_id,tier,milestone_task_id,candidate_id,engine_id,orchestration_type,execution_environment,branch,passed,tests_passed,tests_total,contract_tests_passed,commands_total,commands_failed,duration_seconds,bestmove,legal_from_startpos,cost_estimate_usd,latency_minutes,result_path
C4_ALPHA_BETA_SEARCH,smoke,C4_ALPHA_BETA_SEARCH,C4_codex_agent,,codex_agent,codex_execution,experiments/C4/codex_agent,False,0,1,False,1,1,0.0,,,,,/repo/reports/comparisons/C4_ALPHA_BETA_SEARCH/C4_codex_agent/result.json
C4_ALPHA_BETA_SEARCH,smoke,C4_ALPHA_BETA_SEARCH,C4_custom_parallel,,custom_langchain_parallel,local_worktree,experiments/C4/custom_parallel,False,0,1,False,1,1,0.0,,,,,/repo/reports/comparisons/C4_ALPHA_BETA_SEARCH/C4_custom_parallel/result.json
C4_ALPHA_BETA_SEARCH,smoke,C4_ALPHA_BETA_SEARCH,C4_replit_agent,,replit_agent,replit_external,experiments/C4/replit_agent,False,0,1,False,1,1,0.0,,,,,/repo/reports/comparisons/C4_ALPHA_BETA_SEARCH/C4_replit_agent/result.json
C4_ALPHA_BETA_SEARCH,smoke,C4_ALPHA_BETA_SEARCH,C4_rlm_openai,,rlm,local_worktree,experiments/C4/rlm_openai,False,0,1,False,1,1,0.0,,,,,/repo/reports/comparisons/C4_ALPHA_BETA_SEARCH/C4_rlm_openai/result.json
